ababa	a bab a
wafumanisa	w a fuman is a
wagadla	w a gadl a
wagcina	w a gcin a
wagcwala	w a gcwal a
wagelekeqeka	w a gelekeq ek a
wagoba	w a gob a
wagqanqula	w a gqanqul a
wagqunqa	w a gqunq a
wagulukudela	w a gulukudel a
wagxuma	w a gxum a
wagxumela	w a gxum el a
wahalalisa	w a halal is a
wahamba	w a hamb a
wahambisa	w a hamb is a
wahixileka	w a hixil ek a
wahlala	w a hlal a
wahlangana	w a hlangan a
wahle	w a hle
wahlehlela	w a hlehl el a
wahleka	w a hlek a
wahlephula	w a hlephul a
wahlonipha	w a hloniph a
wahosha	w a hosh a
wakabhinca	w a ka bhinc a
wake	w a ke
wakha	w akh a
wakhahlela	w a khahlel a
wakhala	w a khal a
wakhalakathela	w a khalakath el a
wakhathala	w a khathal a
wakhe	wa khe
wakhipha	w a khiph a
wakho	wa kho
wakhohlwa	w a khohl w a
wakhona	wa kho na
wakhululeka	w a khulul ek a
wakhuluma	w a khulum a
wakhutshwa	w a khutsh w a
wakhuza	w a khuz a
wakubalekela	w a ku balekel a
wakubona	w a ku bon a
wakucabanga	w a ku cabang a
wakude	wa ku de
wakudlisa	w a ku dl is a
wakukhohlwa	w a ku khohl w a
wakusa	w a ku s a
wakuthatha	w a ku thath a
wakuzwa	w a ku zw a
wakwabo	wa kwa bo
wakwakho	wa kwa kho
wakwakhumalo	wa kwa khumalo
wakwamowabi	wa kwa mowabi
wakwashilemi	wa kwa shilemi
wakwazi	w a kw az i
walababantu	wa la ba ba ntu
walala	w a lal a
walamula	w a lamul a
walanda	w a land a
walandelwa	w a landel w a
walandiswa	w a land is w a
walesula	w a l esul a
walibhekisaphi	w a li bhek is a phi
walishaya	w a li shay a
walishiya	w a li shiy a
walixosha	w a li xosh a
walo	wa lo
walokhu	wa lo khu
walotsholwa	w a lotshol w a
walujikijela	w a lu jikijel a
walungisa	w a lung is a
waluqala	w a lu qal a
wama	w a m a
wamamatheka	w a mamathek a
wamangala	w a mangal a
wambona	w a m bon a
wambuka	w a m buk a
wamfunani	w a m fun a ni
wamgxavula	w a m gxavul a
wamhlophe	wamhlophe
wami	wa mi
wamkhuthaza	w a m khuthaz a
wamshumpula	w a m shumpul a
wamuhle	w a mu hle
wamvuma	w a m vum a
wamxoxela	w a m xox el a
wanakana	w a nak an a
wande	w and e
wangabe	w angabe
wangala	w a ng al a
wangathola	w a nga thol a
wangena	w a ngen a
wangephula	w a ng ephul a
wangibangisani	w a ngi bang is a ni
wangibuka	w a ngi buk a
wangibuza	w a ngi buz a
wangichazela	w a ngi chaz el a
wangicika	w a ngi cik a
wangidlisa	w a ngi dl is a
wangikhulula	w a ngi khulul a
wangimba	w a ngi mb a
wangincisha	w a ngi ncish a
wangithena	w a ngi then a
wangitshela	w a ngi tshel a
wangqongqoza	w a ngqongqoz a
wanikela	w a nik el a
wanikezwa	w a nikez w a
wanikina	w a nikin a
wanquma	w a nqum a
wanyenyeza	w a nyenyez a
waphambanisa	w a phamban is a
waphashanyiswa	w a phashanyis w a
waphatheka	w a phath ek a
waphefumula	w a phefumul a
waphela	w a phel a
waphelela	w a phel el a
waphelelwa	w a phelel w a
waphi	waphi
waphikelela	w a phikel el a
waphinda	w a phind a
waphindela	w a phindel a
waphoqeleka	w a phoqel ek a
waphoseka	w a phos ek a
waphuma	w a phum a
waphunyula	w a phunyul a
waphupha	w a phuph a
waphuza	w a phuz a
waqala	w a qal a
waqalaza	w a qalaz a
waqashwa	w a qash w a
waqeda	w a qed a
waqhathwa	w a qhath w a
waqhiphela	w a qhiph el a
waqhuba	w a qhub a
waqhubeka	w a qhub ek a
waqhweba	w a qhweb a
waqina	w a qin a
waqinisa	w a qinis a
waqinisela	w a qinisel a
waqoma	w a qom a
waqonda	w a qond a
waquleka	w a qul ek a
waqumbelana	w a qumb el an a
waqutshulwa	w a qutshul w a
wasabeka	w a sa bek a
wasala	w a sal a
wase	w a se
wasebhabhele	w a se bhabhel e
wasenatali	wa se natali
waseposini	wa se pos ini
wasezinweba	w a se zi nweb a
wasezitendeni	w a se zi tend eni
washaya	w a shay a
washayeka	w a shay ek a
washesha	w a shesh a
washeshe	w a shesh e
washo	w a sho
washona	w a shon a
washonelwa	w a shon el w a
wasibeka	w a si bek a
wasibingelela	w a si bingelel a
wasibuka	w a si buk a
wasichazela	w a si chaz el a
wasicosha	w a si cosh a
wasikhipha	w a si khiph a
wasikhokhela	w a si khokh el a
wasimze	w a simze
wasivula	w a si vul a
wasola	w a sol a
wasondela	w a sondel a
wasuka	w a suk a
wasukuma	w a sukum a
wasutha	w a suth a
watabalasa	w a tabalas a
wathatha	w a thath a
wathathela	w a thathel a
wathela	w a thel a
wathembisa	w a themb is a
wathi	w a thi
wathola	w a thol a
wathontela	w a thont el a
wathula	w a thul a
wathumela	w a thumel a
wathuthumba	w a thuthumb a
watshakadula	w a tshakadul a
watshakudula	w a tshakudul a
wavala	w a val a
wavele	w a vele
wavuka	w a vuk a
wavula	w a vul a
wavuleka	w a vul ek a
wavuma	w a vum a
wavusa	w a vus a
wavuswa	w a vus w a
wawa	w a w a
wawabeka	w a wa bek a
wawabona	w a wa bon a
wawabuyisela	w a wa buy is el a
wawagqumuza	w a wa gqumuz a
wawakhipha	w a wa khiph a
wawakhohlwa	w a wa khohl w a
wawashiya	w a wa shiy a
wawathatha	w a wa thath a
wawathathaphi	w a wa thath a phi
wawatshela	w a wa tshel a
wawemakela	w a w emakel a
wawezwa	w a w ezw a
wawo	wa wo
wawonesi	wa wo nesi
wawubeka	w a wu bek a
wawubekwa	w a wu bek w a
wawubulala	w a wu bulal a
wawudidizela	w a wu didizel a
wawudikiza	w a wu dikiz a
wawufunda	w a wu fund a
wawugqashula	w a wu gqashul a
wawuhlawula	w a wu hlawul a
wawulengisa	w a wu leng is a, w a wu lengis a
wawulibonephi	w a wu li bon e phi
wawumkhulu	w a wu m khulu
wawungafika	w a wu nga fik a
wawungaqondanga	w a wu nga qond anga
wawungathi	w a wu nga thi
wawungeke	w a wu ngeke
wawungezwa	w a wu nge zw a
wawunolimi	w a wu n o limi
wawuphihliza	w a wu phihliz a
wawuphozisa	w a wu phoz is a
wawusukhihlikile	w a wu s u khihlik ile
wawusumukhulu	w a wu s u mu khulu
wawuthatha	w a wu thath a
wawuthe	w a wu th e
wawuthi	w a wu thi
wawuthola	w a wu thol a
wawuvele	w a wu vel e
wawuvula	w a wu vul a
wawuxhapakile	w a wu xhapak ile
wawuyibonephi	w a wu yi bon e phi
waxakoka	w a xakok a
waxakwa	w a xak w a
waxoxela	w a xoxel a
waya	w a y a
wayazi	w a y azi
waye	w a y e
wayebona	w a ye bon a
wayebuye	w a ye buy e
wayefana	w a ye fan a
wayegange	w a ye gang e
wayegebisele	w a ye geb is el e
wayeguduza	w a ye guduz a
wayehamba	w a ye hamb a
wayehlala	w a yehlal a
wayehlezi	w a ye hlez i
wayehlupheka	w a ye hluph ek a
wayehobephi	w a ye hob e phi
wayeke	w a ye ke
wayekhala	w a ye khal a
wayekhalelani	w a ye khal el a ni
wayekhangwa	w a ye khang w a
wayekhipha	w a ye khiph a
wayekhulumela	w a ye khulum el a
wayekubonephi	w a ye ku bon e phi
wayekuphi	w a ye ku phi
wayekusho	w a ye ku sho
wayekuthatha	w a yekuthath a
wayekwazi	w a ye kw azi
wayelithanda	w a ye li thand a
wayelokbu	wayelokbu
wayelokhu	wayelokhu
wayelubalubeka	w a ye lubalub ek a
wayemthembisile	w a ye m themb is ile
wayeneminyaka	wayeneminyaka
wayengabaganisa	w a ye nga ba gan is a
wayengabala	w a ye nga bal a
wayengaboni	w a ye nga bon i
wayengacebeki	w a ye nga ceb ek i
wayengafisa	w a ye nga fis a
wayengafunga	w a ye nga fung a
wayengahlezi	w a ye nga hlez i
wayengakanqwamani	w a ye nga ka nqwaman i
wayengakaze	w a ye nga ka ze
wayengakhombisi	w a ye nga khombis i
wayengakhulumi	w a ye nga khulum i
wayengakuthandisisi	w a ye nga ku thand isis i
wayenganqaba	w a ye nga nqab a
wayengaphila	w a ye nga phil a
wayengasabheki	w a ye nga sa bhek i
wayengasakungeni	w a ye nga sa ku ngen i
wayengasakuzwa	w a ye nga sa ku zw a
wayengasasikhulumi	w a ye nga sa si khulum i
wayengayimosi	w a ye nga yi mos i
wayengazihluphelani	w a ye nga zi hluph el a ni
wayengenandoda	w a ye nge na n doda
wayengenwa	w a ye ngen w a
wayengezukuyigquma	w a ye nge zu ku yi gqum a
wayengithanda	w a ye ngi thand a
wayengumntanekhaladi	w a ye ng u m ntan e khaladi
wayengumuntu	w a ye ng u mu ntu
wayephakamisa	w a ye phakam is a
wayeqonda	w a ye qond a
wayesamile	w a ye sa m ile
wayesanxephezisa	w a ye sa nxephez is a
wayesaxakekile	w a ye sa xak ek ile
wayesazi	w a ye s azi
wayesebalindele	w a ye se ba lind el e
wayesecuphe	w a yese cuph e, w a yesecuph e
wayesefisa	w a ye se fis a
wayesejike	w a ye se jik e
wayesekade	w a ye se kade
wayesekhipha	w a ye se khiph a
wayesekhona	w a ye se kho na
wayesekushaya	w a ye se ku shay a
wayesemtholile	w a ye se m thol ile
wayesemtshelelani	w a ye se m tshel el a ni
wayesenovalo	w a ye se n o valo
wayesephathiswa	w a ye se phath is w a
wayeseqhuba	w a ye se qhub a
wayeseshiyekile	w a ye se shiy ek ile
wayeseshonisa	w a yese shon is a
wayesewabuza	w a ye se wa buz a
wayesewulahlile	w a ye se wu lahl ile
wayesezibonela	w a ye se zi bon el a
wayesezimisele	w a ye se zi m is el e
wayethene	w a ye then e
wayethi	w a ye thi
wayetubeke	w a ye tub ek e
wayevamise	w a ye vam is e
wayevanule	w a ye vanul e
wayeyigagu	w a ye y i gagu
wayeyithatha	w a ye yi thath a
wayeyokuzwa	w a ye yo ku zw a
wayeyolala	w a ye yo lal a
wayeyozwa	w a ye yo zw a
wayezibhala	w a ye zi bhal a
wayezibuza	w a ye zi buz a
wayeziphekela	w a ye zi phek el a
wayezobuye	w a ye zo buye
wayezofuna	w a ye zo fun a
wayezoqala	w aye zo qal a
wayezwa	w a ye zw a
wayibikela	w a yi bikel a
wayikhomba	w a yi khomb a
wayiletha	w a yi leth a
wayilwa	w a yi lw a
wayincela	w a yi ncel a
wayinhlabathi	w ayinhlabathi
wayipha	w a yi ph a
wayiphatha	w a yi phath a
wayiphathaphatha	w a yi phathaphath a
wayiphupha	w a yi phuph a
wayisho	w a yi sho
wayithanda	w a yi thand a
wayithola	w a yi thol a
wayo	wa yo
wayobheka	w a yo bhek a
wayocelela	w a yo cel el a
wayofunani	w a yo fun a ni
wayohlala	w a yo hlal a
wayokhela	w a y okhel a
wayolala	w a yo lal a
wayolalaa	w a yo lala a
wayolunguza	w a yo lunguz a
wayomshiya	w a yo m shiy a
wayongena	w a yo ngen a
wayowakholwa	w a yo wa khol w a
wazama	w a zam a
waze	w a ze
wazi	w azi
wazibamba	w a zi bamb a
wazibhonxula	w a zi bhonxul a
wazibiza	w a zi biz a
wazibona	w a zi bon a
wazibonela	w a zi bon el a
wazibuza	w a zi buz a
wazichaza	w a zi chaz a
wazidela	w a zi del a
waziduduza	w a zi duduz a
wazijika	w a zi jik a
wazikhuza	w a zi khuza
wazilanda	w a zi land a
wazilandela	w a zi landel a
wazimboza	w a zi mboz a
wazimisa	w a zi m is a
wazimisela	w a zi m is el a
wazinika	w a zi nik a
wazinza	w a zinz a
waziphekela	w a zi phek el a
wazisonga	w a zi song a
wazithi	w a zi thi
wazithola	w a zi thol a
wazithulela	w a zi thul el a
wazitshela	w a zi tshel a
wazizwa	w a zi zw a
wazofika	w a zo fik a
wazula	w a zul a
wazwiba	w a zwib a
we	we
webantu	we ba ntu
wedelela	w edelel a
wedeleliswa	w edelel is w a
wedlula	w edlul a
wedwa	we dwa
wegolide	w e golide
wehle	w ehl e
wehlulwe	w ehlul w e
wekamelo	w e kamelo
wekhehla	w e khehla
welashwa	w elash w a
welusa	w elus a
wema	w em a
wemadoda	w e ma doda
wemfengwane	w e m fengwane
wemuka	w emuk a
wena	we na
wendlu	w e ndlu
wenela	w enel a
wengwevu	w e n gwevu
wenkosi	w e n kosi
wenqena	w enqen a
wenqindi	w e n qindi
wenyoni	w e nyoni
wenza	w enz a
wenzani	w enz a ni
wenzela	w enzel a
wenzeni	w enz e ni
weqembu	w e qembu
weshumi	w e shumi
wesifazane	w e si faz ane, w e si fazane
wesihhomuhhomu	w e si hhomu hhomu, w e si hhomuhhomu
wesikole	w e si kole
wesilisa	w e silisa
wesinwe	w e si nwe
wesithembu	w e si thembu
wesonto	w e sonto
wesula	w esul a
wethemba	w e themb a, w ethemb a
wethembe	w ethemb e
wethembele	w ethemb el e
wethembisa	w ethemb is a
wethoka	w ethok a
wethu	w ethu
wethuka	w ethuk a
wetiyela	w e tiyela
wewu	wewu
weza	w ez a
wezalukazi	w e z alu kazi
wezingane	w e zin gane
wezinkomo	w e zin komo
wezinkukhu	w e zin kukhu
weziqiniseko	w e zi qinis ek o
wezizwe	w e zi zwe
wezwa	w ezw a
wezwakala	w ezw akal a
wo	wo
wobufakazi	w o bu fakaz i, w o bu fakazi
wodwa	wo dwa
wofaka	w o fak a
wohloka	w o hlok a, wohlok a
wokuba	w o kuba
wokuhamba	w o ku hamb a
wokukhaza	w o ku khaz a
wokuphuma	w o ku phum a
wokushokusha	w o ku shokush a
wokuthi	w o kuthi
wokuzibukela	w o ku zi buk el a
wokwetshelekana	w o kw etshel ek an a
wolibeka	w o li bek a
wolwazi	w o lw azi
woma	w om a
womfowethu	w o m fowethu
womgexo	w o m gexo
womhlangano	w o m hlangan o
womlungu	w o mlungu
womphako	w o m phak o
womsiza	w o m siza
womunye	w o mu nye
wona	w on a, wo na
wonga	w ong a
wonke	wo nke
woqobo	w o qobo
woziyisa	w o zi y is a
wozwa	w o zw a
wozwakala	w o zw akal a
wubuhlakalala	w u bu hlakalala
wukubuka	w u ku buk a
wuluphi	wu lu phi
wuluwulu	wuluwulu
wumuthi	w u mu thi
x	x
xashikenaze	xashikenaze
xhifi	xhifi
ximba	ximb a
xola	xol a
xulu	xulu
yaba	y a b a
yababhadama	y a ba bhadam a
yabadonsa	y a ba dons a
yabafana	y a ba fana
yabafazi	y a ba fazi
yabakwabuthelezi	y a ba kwa buthelezi
yabalindi	y a ba lind i
yabameli	ya ba meli
yabangwa	y a bang w a
yabantu	y a ba ntu
yabaphathizitsha	y a ba phath i zi tsha
yabe	y a b e
yabo	ya bo
yabona	y a bon a
yabonakala	y a bon akal a
yabushelelezi	ya bu shelelez i
yabuyela	y a buy el a
yachaphazela	y a chaphazel a
yacishe	y acishe
yadliwa	y a dl iw a
yafika	y a fik a
yagcina	y a gcin a
yagcwala	y a gcwal a
yagxila	y a gxil a
yahamba	y a hamb a
yahlupha	y a hluph a
yakhe	ya khe
yakho	ya kho
yakhohlakala	y a khohl akal a
yakhona	ya kho na
yakhuza	y a khuz a
yakwabo	ya kwa bo
yakwamncube	ya kwa m ncube
yakwangono	ya kwa ngono
yakwazi	y a kw azi
yakwethu	y akwethu
yalaba	ya la ba
yalala	y a lal a
yalanda	y a land a
yalapha	y alapha
yale	ya le
yalesisizwe	ya le si si zwe
yalezi	ya le zi
yalezizinto	ya le zi zin to
yalibamba	y a li bamb a
yalifuza	y a li fuz a
yalithi	y a li thi
yalo	ya lo
yalokho	ya lokh o
yamagereshoni	y a ma gereshoni
yamakhanda	y a ma khanda
yamakhosi	y a ma khosi
yamandwandwe	y a ma ndwandwe
yamanye	y a ma nye
yamashinga	y a ma shinga
yamasudi	y a ma sudi
yamatshe	y a ma tshe
yamazulu	y a ma zulu
yambhuquzisa	y a m bhuquz is a
yamehlo	y a me hlo
yami	ya mi
yamkhipha	y a m khiph a
yamkhohlwa	y a m khohl w a
yamnika	y a m nik a
yamnqumela	y a m nqum el a
yamukelwe	y amuk el w e
yamusa	y a mu s a
yamvimba	y a m vimb a
yanamuhla	ya namuhla
yancipha	y a nciph a
yangena	y a ngen a
yangenza	y a ng enz a
yangilahlekela	y a ngi lahl ek el a
yanginika	y a ngi nik a
yangiphazamisa	y a ngi phazam is a
yangqofa	y a ngqof a
yantambama	ya ntambama
yaphela	y a phel a
yaphuma	y a phum a
yaqalaza	y a qalaz a
yaqalwa	y a qal w a
yaqapha	y a qaph a
yaqhuba	y a qhub a
yaqhubeka	y a qhub ek a
yaqhwisha	y a qhwish a
yaqonda	y a qond a
yaqothula	y a qothul a
yase	ya se
yasegugwini	ya se gugw ini
yasehholo	ya se hholo
yasemahlongwa	ya se ma hlongwa
yasemtshezi	ya se m tshezi
yasendlini	ya se n dl ini
yaseqhudeni	ya se qhud eni
yasesikoleni	yasesikoleni
yaseyideni	y aseyideni
yasiphatha	y a si phath a
yaso	ya so
yathi	y a thi
yathula	y a thul a
yavele	y a vel e
yavuma	y a vum a
yawagqihisa	y a wa gqih is a
yawatshela	y a wa tshel a
yawela	y a wel a
yawo	ya wo
yawukhomba	y a wu khomb a
yaya	y a y a
yayaphi	y a y a phi
yayeneme	y a y enem e
yayibangenile	y a yi ba ngen ile
yayibhalwe	y a yi bhal w e
yayibhekene	y a yi bhek en e
yayibuye	y a yi buy e
yayifundiswe	y a yi fundis w e
yayihamba	y a yi hamb a
yayihambe	y a yi hamb e
yayihlezi	y a yi hlez i
yayikade	y a yi kad e
yayikhala	y a yi khal a
yayikhelwe	y a yi khel w e, y a yi khelw e
yayimbude	y a y i m bude
yayiminingi	yayiminingi
yayingambhalela	y a yi nga m bhal el a
yayingathi	y a yi nga thi
yayiqonde	y a yi qond e
yayiseyinde	y a yi se yin de
yayisibona	y a yi si bon a
yayisihlala	y a yi si hlal a
yayithanda	y a yi thand a
yayithi	y a yi thi
yayivunule	y a yi vunul e
yayizolotsholwa	y a yi zo lotshol w a
yayo	ya yo
yayomnquma	y a yo m nqum a
yayosithela	y a yo si th el a
yayozihlalela	y a yo zi hlal el a
yaze	y a ze
yazeka	y az ek a
yazi	y azi
yebhakede	y e bhakede
yebhodwe	y e bhodwe
yebo	yebo
yedlula	y edlul a
yedolobha	y e dolobha
yedwa	ye dwa
yehhashi	y e hhashi
yehlela	y ehlel a
yehlula	y ehlul a
yejayire	y e jayire
yeka	yek a
yelambu	y e lambu
yelanga	y e langa
yema	y em a
yembe	yembe
yemfuyo	y e m fuy o
yemisebenzi	y e mi sebenzi
yena	ye na
yendawo	y e n dawo
yendlala	y e n dlala
yentombazane	y e ntombazane
yenzani	y enz a ni
yenze	y enz e
yenzeka	y enz ek a
yenzeke	y enz ek e
yenzekile	y enz ek ile
yenziwa	y enz iw a
yesalukazi	y e s alukazi, y e salukazi
yesibili	y e si bili
yesintu	y e si ntu
yesizulu	y e si zulu
yetafula	y e tafula
yethu	y ethu
yevila	y e vila
yeyembe	y e yembe
yezelwa	y ez el w a
yezihlahla	y e zi hlahla
yezilimi	y e zi limi
yezimpophoma	y e zim pophoma
yezincwadi	y e zi ncwadi
yezindandatho	y e zin dandatho
yezingwe	y e zin gwe
yezinjongo	y e zin jongo
yezinye	y e zi nye
yezitamukoko	y e zi tamukoko
yezizathu	y e zi zathu
yibhasi	y i bhasi
yibo	yi bo
yibumfingomfingo	y i bumfingomfingo
yibuxakalala	yi bu xakalala
yicala	y i cala
yidwala	y i dwala
yigosa	y i gosa
yihlobo	y i hlobo
yikhanda	y i khanda
yikhehla	y i khehla
yikho	yi kho
yikhona	yi kho na
yikumamatheka	yi ku mamathek a
yikushisa	y i ku shisa
yilaba	yi la ba
yilababafanyana	yi la ba ba fany ana
yilanga	y i langa
yilapha	yi lapha
yilapho	yi lapho
yilawo	yi la w o
yile	yi le
yilencwadi	yi le n cwadi
yilo	yi lo
yilokho	yi lo kh o
yilokhu	yi lo khu
yilolu	yilolu
yiloluhlobo	yiloluhlobo
yilona	yi lo na
yilowo	yi lo w o
yilowonkosikazi	yi lo w o n kosi kazi, yi lo w o nkosi kazi
yima	yi m a
yimbi	yi m bi
yimfihlo	y i m fihl o
yimina	yi mi na
yimisebenzi	y i m isebenzi
yimithi	y i mi thi
yimpelesi	yimpelesi
yimpumelelo	y i m pumelel o
yimvume	y i m vum e
yimvuselelo	y i m vusel el o
yindaba	y i n daba
yindawo	y i n dawo
yindilingakazi	y i n dilinga kazi
yindlela	y i n dlela
yindoda	y i n doda
yingakho	yi nga kho
yingalesosikhathi	yi nga le s o si khathi
yingane	y i n gane
yinganekwane	y i n ganekwane
yingqondo	y i n gqond o
yinhlanga	y i n hlanga
yinhle	yi n hle
yini	yi ni
yiningi	yi ningi
yinjabulo	y i n jabul o
yinkehli	y i nkehli
yinkonyane	y i n kony ane
yinkosazane	y i n kos az ane
yinsika	y i n sika
yinsini	y i n sini
yinto	y i n to
yintombi	y i n tombi
yiphela	yi phela
yiqiniso	y i qinis o
yiru	yi ru
yise	yi s e
yisethi	y i sethi
yisibane	y i si bane
yisicebi	y i si ceb i
yisifuba	y i si fuba
yisigxobo	y i si gxobo
yisihlahla	y i si hlahla
yisihlalo	y i si hlal o
yisikhwele	y i si khwele
yisimo	y i si mo
yisithunzi	y i si thunzi
yiso	yi so
yitafula	y i tafula
yithemba	y i themba
yithi	yi thi
yithonya	y i thonya
yitshe	y i tshe
yitu	yi tu
yiwona	yi wo na
yiwundlu	y i wundlu
yiyo	yi yo
yiyona	yi yo na
yizandla	y i z andla
yizichwe	y i zi chwe
yizifo	y i zi fo
yizikhathi	y i zi khathi
yizingiqi	y i zin giqi
yizinhlungu	y i zin hlungu
yizinto	y i zin to
yizinwele	y i zi nwele
yizithunzana	y i zi thunz ana
yizithunzi	y i zi thunzi
yizizukulwane	y i zi zukulw ane
yizo	yi zo
yizona	yi zo na
yobuhle	y o bu hle
yobukhosi	y o bu khosi
yobusuku	y o bu suku
yobuthaka	y o bu thak a
yodwa	yo dwa
yogulayo	y o gul a yo
yokosa	y o k os a
yokubhalisa	y o ku bhal is a
yokubhula	y o ku bhul a
yokubuya	y o ku buy a
yokucatshangwa	y o ku catshang w a
yokudineka	y o ku din ek a
yokufika	y o ku fik a
yokugebenga	y o ku gebenga
yokugezela	y o ku gez el a
yokuhamba	y o ku hamb a
yokuhlala	y o ku hlal a
yokuhlela	y o ku hlel a
yokuhlola	y o ku hlol a
yokuhlushwa	y o ku hlush w a
yokukhathala	y o ku khathala
yokukholwa	y o ku khol w a
yokukulungisa	y o ku ku lung is a
yokulala	y o ku lal a
yokulindela	y o ku lind el a
yokungadli	y o ku nga dl i
yokunikelela	y o ku nikel el a
yokupheka	y o ku phek a
yokuphekela	y o ku phek el a
yokuphela	y o ku phel a
yokuphumulela	y o ku phumulel a
yokuphunyula	y o ku phunyul a
yokuqala	y o ku qal a
yokusina	y o ku sin a
yokuthi	y o kuthi
yokuthuthukiswa	y o ku thuthuk is w a
yokuziphatha	y o ku zi phath a
yokwehla	y o kw ehl a
yokwesula	y o kw esul a
yokwezela	y o kw ezela
yombhulelo	y o m bhulel o
yombuso	y o m bus o
yomdlalo	y o m dlal o
yomfana	y o m fana
yomfazi	y o m fazi
yomhla	y o m hla
yomkhi	y o m kh i
yomlamu	y o m lamu
yomlilo	y o m lilo
yomlungu	y o m lungu
yomoya	y o moya
yompucuko	y o m pucuk o
yomthakathi	y o m thakath i
yomuntu	y o mu ntu
yomuzi	y o mu zi
yona	yo na
yonke	yo nke
yonozulazulane	y o n o zulazul ane
yonyazi	y o nyazi
yozi	yozi
zaba	z a b a, z ab a
zabambalwa	z a b a mbalwa
zabantu	z a ba ntu
zabazali	z a ba zal i
zabe	z a b e, z ab e
zabo	za bo
zadedelwa	z a ded el w a
zadla	z a dl a
zadlula	z a dlul a
zafa	z a f a
zafunda	z a fund a
zagqolozela	z a gqoloz el a
zagxila	z a gxil a
zagxobagxoba	z a gxob a gxob a
zajabula	z a jabul a
zakhe	za khe
zakhetha	z a kheth a
zakho	za kho
zakhokhiswa	z a khokh is w a
zakhuleka	z a khul ek a
zakubona	z a ku bon a
zakwabo	za kwa bo
zakwamalakatha	za kwa ma lakatha
zakwethu	za kw ethu
zalabo	za la b o
zalukazi	z alu kazi
zalutho	za lu tho
zamanje	za manje
zamehlo	z a me hlo
zami	za mi
zangcola	z a ngcol a
zangena	z a ngen a
zanqwabelana	z a nqwabel an a
zantambama	za ntambama
zaphela	z a phel a
zaphetha	z a pheth a
zaphuma	z a phum a
zaqhamaka	z a qhamak a
zasethekwini	z a s ethekwini
zasina	z a sin a
zaso	za so
zasuka	z a suk a
zathathwa	z a thath w a
zathi	z a thi
zathintwa	z a thint w a
zawo	za wo
zaxutshaniswa	z a xutsh an is w a
zaya	z a y a
zayeka	z a yek a
zayibamba	z a yi bamb a
zayithungela	z a yi thung el a
zayo	za yo
zaze	z a z e
zazibethela	z a zi beth el a
zazihlala	z a zi hlal a
zazikhula	z a zi khul a
zazimhambele	z a zi m hamb el e
zazingakabibikho	zazingakabibikho
zazingekho	z a zi nge kho
zaziphela	z a zi phel a
zazixoxela	z a zi xoxel a
zaziyazi	z a zi y azi
zaziyithusi	z a zi y i thusi
zazizame	z a zi zam e
ze	ze
zedrama	z e drama
zehla	z ehl a
zehle	z ehl e
zemfundo	z e m fund o
zemingcwabo	z e mi ngcwab o
zemithi	z e mi thi
zendelelo	z e n delel o
zenhlangano	z e n hlangan o
zentilasipoti	z e ntilasipoti
zentuthu	z e n tuthu
zenu	z enu
zenze	z enz e
zenziwe	z enz iw e
zeqa	z eq a
zetahabanakele	z e tahabanakele
zethu	z ethu
zethuka	z ethuk a
zetiye	z e tiye
zezinsizwa	z e zin sizwa
zibaba	zi bab a
zibahlonipha	zi ba hloniph a
zibaleka	zi balek a
zibanga	zi bang a
zibanzi	zi banzi
zibe	zibe
zibhodongo	zi bhodongo
zibiza	zi biz a
zibizwa	zi biz w a
zibulalane	zi bulal an e
zibulewe	zi bule w e
zibunjwe	zi bunj w e
zibuya	zi buy a
zibuye	zi buy e
zicabange	zi cabang e
zicosha	zi cosh a
zifezekile	zi fez ek ile
zifuna	zi fun a
zifuneka	zi fun ek a
zigcwele	zi gcwel e
zigijima	zi gijim a
zigqoma	zi gqom a
zihlabe	zi hlab e
zihlandla	zi hlandl a
zihlangene	zi hlangen e
zihle	zihle
zihlobo	zi hlobo
zihlonipha	zi hloniph a
zijaha	zi jah a
zika	zika
zikababa	zika baba
zikanokusho	zika no ku sho
zikapopo	zika popo
zikatebha	z i katebha
zikathokozani	zika thokoz a ni
zikhalele	zi khalel e
zikhathele	zi khathel e
zikhona	zi kho na
zikhula	zi khul a
zikhuluma	zi khulum a
zikhwela	zi khwel a
ziliminya	zi li miny a
ziliphuzi	ziliphuzi
zilungiswezimklwebha	zi lung is w e zi m klwebh a
